river,test_site,year,measurement_type,result,river_and_test_site
Thurso,Poll Chreagain,2013,Numerical Density,NA,THURSO Poll Chreagain
Thurso,Poll Chreagain,2013,Biomass Density,NA,THURSO Poll Chreagain
Thurso,Poll Chreagain,2013,ph,NA,THURSO Poll Chreagain
Thurso,Poll Chreagain,2013,conductivity,NA,THURSO Poll Chreagain
Thurso,Poll Chreagain,2014,Numerical Density,NA,THURSO Poll Chreagain
Thurso,Poll Chreagain,2014,Biomass Density,NA,THURSO Poll Chreagain
Thurso,Poll Chreagain,2014,ph,NA,THURSO Poll Chreagain
Thurso,Poll Chreagain,2014,conductivity,NA,THURSO Poll Chreagain
Thurso,Poll Chreagain,2015,Numerical Density,NA,THURSO Poll Chreagain
Thurso,Poll Chreagain,2015,Biomass Density,NA,THURSO Poll Chreagain
Thurso,Poll Chreagain,2015,ph,NA,THURSO Poll Chreagain
Thurso,Poll Chreagain,2015,conductivity,NA,THURSO Poll Chreagain
Thurso,Poll Chreagain,2016,Numerical Density,NA,THURSO Poll Chreagain
Thurso,Poll Chreagain,2016,Biomass Density,NA,THURSO Poll Chreagain
Thurso,Poll Chreagain,2016,ph,NA,THURSO Poll Chreagain
Thurso,Poll Chreagain,2016,conductivity,NA,THURSO Poll Chreagain
Thurso,Poll Chreagain,2017,Numerical Density,NA,THURSO Poll Chreagain
Thurso,Poll Chreagain,2017,Biomass Density,NA,THURSO Poll Chreagain
Thurso,Poll Chreagain,2017,ph,NA,THURSO Poll Chreagain
Thurso,Poll Chreagain,2017,conductivity,NA,THURSO Poll Chreagain
Thurso,Poll Chreagain,2018,Numerical Density,NA,THURSO Poll Chreagain
Thurso,Poll Chreagain,2018,Biomass Density,NA,THURSO Poll Chreagain
Thurso,Poll Chreagain,2018,ph,NA,THURSO Poll Chreagain
Thurso,Poll Chreagain,2018,conductivity,NA,THURSO Poll Chreagain
Thurso,Poll Chreagain,2019,Numerical Density,NA,THURSO Poll Chreagain
Thurso,Poll Chreagain,2019,Biomass Density,NA,THURSO Poll Chreagain
Thurso,Poll Chreagain,2019,ph,NA,THURSO Poll Chreagain
Thurso,Poll Chreagain,2019,conductivity,NA,THURSO Poll Chreagain
Thurso,Poll Chreagain,2020,Numerical Density,2.5,THURSO Poll Chreagain
Thurso,Poll Chreagain,2020,Biomass Density,6.26,THURSO Poll Chreagain
Thurso,Poll Chreagain,2020,ph,NA,THURSO Poll Chreagain
Thurso,Poll Chreagain,2020,conductivity,NA,THURSO Poll Chreagain
Thurso,Poll Chreagain,2021,Numerical Density,2.17,THURSO Poll Chreagain
Thurso,Poll Chreagain,2021,Biomass Density,6.15,THURSO Poll Chreagain
Thurso,Poll Chreagain,2021,ph,NA,THURSO Poll Chreagain
Thurso,Poll Chreagain,2021,conductivity,NA,THURSO Poll Chreagain
Wick,Acharole1,2013,Numerical Density,NA,WICK Acharole1
Wick,Acharole1,2013,Biomass Density,NA,WICK Acharole1
Wick,Acharole1,2013,ph,NA,WICK Acharole1
Wick,Acharole1,2013,conductivity,NA,WICK Acharole1
Wick,Acharole1,2014,Numerical Density,NA,WICK Acharole1
Wick,Acharole1,2014,Biomass Density,NA,WICK Acharole1
Wick,Acharole1,2014,ph,NA,WICK Acharole1
Wick,Acharole1,2014,conductivity,NA,WICK Acharole1
Wick,Acharole1,2015,Numerical Density,1.69,WICK Acharole1
Wick,Acharole1,2015,Biomass Density,3.8,WICK Acharole1
Wick,Acharole1,2015,ph,NA,WICK Acharole1
Wick,Acharole1,2015,conductivity,244,WICK Acharole1
Wick,Acharole1,2016,Numerical Density,NA,WICK Acharole1
Wick,Acharole1,2016,Biomass Density,NA,WICK Acharole1
Wick,Acharole1,2016,ph,NA,WICK Acharole1
Wick,Acharole1,2016,conductivity,NA,WICK Acharole1
Wick,Acharole1,2017,Numerical Density,NA,WICK Acharole1
Wick,Acharole1,2017,Biomass Density,NA,WICK Acharole1
Wick,Acharole1,2017,ph,NA,WICK Acharole1
Wick,Acharole1,2017,conductivity,NA,WICK Acharole1
Wick,Acharole1,2018,Numerical Density,3.87,WICK Acharole1
Wick,Acharole1,2018,Biomass Density,6.04,WICK Acharole1
Wick,Acharole1,2018,ph,NA,WICK Acharole1
Wick,Acharole1,2018,conductivity,NA,WICK Acharole1
Wick,Acharole1,2019,Numerical Density,NA,WICK Acharole1
Wick,Acharole1,2019,Biomass Density,NA,WICK Acharole1
Wick,Acharole1,2019,ph,NA,WICK Acharole1
